number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url	reason
1269	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Copy/Paste HTML with Bullets and styled marks breaks	https://github.com/ProseMirror/prosemirror/issues/1269	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1270	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Duplicates <table> entry in clipboard when copying multiple paragraphs in a <td>	https://github.com/ProseMirror/prosemirror/issues/1270	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1271	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Backspacing the last character in a paragraph hangs on iOS Safari 	https://github.com/ProseMirror/prosemirror/issues/1271	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1272	OPEN	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Block schema example not working on Firefox Android 	https://github.com/ProseMirror/prosemirror/issues/1272	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1273	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	[types] gapCursor is not exported in index.d.ts	https://github.com/ProseMirror/prosemirror/issues/1273	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1274	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	`prosemirror-schema-list` should depend on `prosemirror-state`	https://github.com/ProseMirror/prosemirror/issues/1274	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1275	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	[docs] Transform.doc should be ProseMirror Node instead of DOMNode	https://github.com/ProseMirror/prosemirror/issues/1275	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1276	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Inserting an emoji at the end of a paragraph throughs an error	https://github.com/ProseMirror/prosemirror/issues/1276	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1277	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	declares 'Command' locally, but it is not exported.	https://github.com/ProseMirror/prosemirror/issues/1277	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1278	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Since es output will not be compiled to 'es5' , it will cause an error if other modules that depend on prosemimirror are compiled to 'es5'	https://github.com/ProseMirror/prosemirror/issues/1278	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1279	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Unable to run the prose mirror demo (typescript) latest source code	https://github.com/ProseMirror/prosemirror/issues/1279	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1280	OPEN	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	`prosemirror-test-builder` no longer has a default export	https://github.com/ProseMirror/prosemirror/issues/1280	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1282	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	multiple versions of prosemirror-model after updating to 1.17.0	https://github.com/ProseMirror/prosemirror/issues/1282	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1283	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Typescript compile failed prosemirror-model@1.8.0 	https://github.com/ProseMirror/prosemirror/issues/1283	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1284	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Can't compile without unwanted tsconfig flag: allowSyntheticDefaultImports (OrderedList import bug)	https://github.com/ProseMirror/prosemirror/issues/1284	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1285	CLOSED	skip	product-integration	Skip: product-integration	N/A	N/A	skip	N/A	Some internal types maybe should be public	https://github.com/ProseMirror/prosemirror/issues/1285	Skipped as product-integration; no title-level portable Slate-v2 editor invariant.
1286	CLOSED	keep-portable	table-grid-editing	Tables, cells, rows, columns, grid selection	.tmp/slate-v2/playwright/integration/examples/tables.test.ts; future table model owner	browser table containment/navigation/clipboard proof	refactor-existing/create-new/defer-model	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/tables.test.ts --project=chromium --grep "table|cell|selection|paste|drag"	Unable to select table cells	https://github.com/ProseMirror/prosemirror/issues/1286	Kept for Tables, cells, rows, columns, grid selection; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1287	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Empty `DecorationSet` breaks in `prosemirror-view@^1.24.0`	https://github.com/ProseMirror/prosemirror/issues/1287	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1288	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	posAtCoords returning position after node, not before	https://github.com/ProseMirror/prosemirror/issues/1288	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1289	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Widget decoration causes node duplication when typing dead-letters	https://github.com/ProseMirror/prosemirror/issues/1289	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1290	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Which way is better to associate comment to prosemirror doc?	https://github.com/ProseMirror/prosemirror/issues/1290	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1291	OPEN	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Autocompletion with enter on Android keyboard creates new list item below	https://github.com/ProseMirror/prosemirror/issues/1291	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1292	OPEN	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	`setNodeMarkup` in `appendTransaction` causes the cursor to be stuck in Chrome on Android	https://github.com/ProseMirror/prosemirror/issues/1292	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1293	CLOSED	defer	large-doc-performance	Performance, memory, layout, freeze, bundle size	Slate-v2 performance benchmark owner	focused benchmark target with correctness guardrails required	defer-benchmark-target	create or select a Slate-v2 benchmark target before runtime optimization	Editing codeblocks with > 30k lines is slow in Chromium	https://github.com/ProseMirror/prosemirror/issues/1293	Kept for Performance, memory, layout, freeze, bundle size; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1294	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	TypeScript: Type handleDOMEvents does not match	https://github.com/ProseMirror/prosemirror/issues/1294	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1295	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Pressing enter in empty nested list item lifts the whole sublist one step upwards	https://github.com/ProseMirror/prosemirror/issues/1295	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1296	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Toggling link mark duplicates next typed full-angle character	https://github.com/ProseMirror/prosemirror/issues/1296	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1297	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Possible to add a blockquote inside a list Item?	https://github.com/ProseMirror/prosemirror/issues/1297	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1298	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	typescript complains about prosemirror dist/index.d.ts	https://github.com/ProseMirror/prosemirror/issues/1298	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1299	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Lifting a list item in a nested list will throw a RangeError	https://github.com/ProseMirror/prosemirror/issues/1299	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1300	CLOSED	defer	large-doc-performance	Performance, memory, layout, freeze, bundle size	Slate-v2 performance benchmark owner	focused benchmark target with correctness guardrails required	defer-benchmark-target	create or select a Slate-v2 benchmark target before runtime optimization	Page layout	https://github.com/ProseMirror/prosemirror/issues/1300	Kept for Performance, memory, layout, freeze, bundle size; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1301	OPEN	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	`GapCursor.findFrom` incompatibly overrides `Selection.findFrom`	https://github.com/ProseMirror/prosemirror/issues/1301	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1302	OPEN	keep-portable	history-undo-redo	History, undo/redo, transaction grouping	.tmp/slate-v2/packages/slate-history/test/history-contract.ts	package history contract proof	refactor-existing/create-new	bun test ./packages/slate-history/test/history-contract.ts --test-name-pattern "history|undo|redo|batch|selection"	When repeatedly updating an attr, history groupDelay does not work	https://github.com/ProseMirror/prosemirror/issues/1302	Kept for History, undo/redo, transaction grouping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1303	OPEN	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Entering `Mod+[` in Mac+Chrome triggers browser shortcut before key handling in prosemirror	https://github.com/ProseMirror/prosemirror/issues/1303	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1304	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Command-Shift-v doesn't work on Safari	https://github.com/ProseMirror/prosemirror/issues/1304	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1305	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Support for nodenext/node16 module resolution in TypeScript	https://github.com/ProseMirror/prosemirror/issues/1305	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1306	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	liftListItem lifts items out from the same level into the new list	https://github.com/ProseMirror/prosemirror/issues/1306	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1307	OPEN	keep-portable	ime-beforeinput-keyboard	IME, beforeinput, composition, keyboard replacement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	HandleTextInput not called for type over or text replacement.	https://github.com/ProseMirror/prosemirror/issues/1307	Kept for IME, beforeinput, composition, keyboard replacement; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1308	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	InvalidStateError: extend() requires a Range to be added to the Selection	https://github.com/ProseMirror/prosemirror/issues/1308	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1309	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Delete key seems to remove some of following nodes	https://github.com/ProseMirror/prosemirror/issues/1309	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1310	CLOSED	keep-portable	shadow-dom-browser	Shadow DOM, iframe, root-owner browser surfaces	.tmp/slate-v2/playwright/integration/examples/shadow-dom.test.ts	browser shadow-root input and selection proof	covered/refactor-existing	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/shadow-dom.test.ts --project=chromium	Safari selection and caret issue inside Shadow dom	https://github.com/ProseMirror/prosemirror/issues/1310	Kept for Shadow DOM, iframe, root-owner browser surfaces; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1311	CLOSED	keep-portable	history-undo-redo	History, undo/redo, transaction grouping	.tmp/slate-v2/packages/slate-history/test/history-contract.ts	package history contract proof	refactor-existing/create-new	bun test ./packages/slate-history/test/history-contract.ts --test-name-pattern "history|undo|redo|batch|selection"	 Incorrect undo behaviour for Chineses Characters [Need Help] Thx very much! 	https://github.com/ProseMirror/prosemirror/issues/1311	Kept for History, undo/redo, transaction grouping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1312	CLOSED	keep-portable	ime-beforeinput-keyboard	IME, beforeinput, composition, keyboard replacement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	 translate to Chinese CPU 100%	https://github.com/ProseMirror/prosemirror/issues/1312	Kept for IME, beforeinput, composition, keyboard replacement; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1313	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Selection from outside the editor causes the editor to get into focus	https://github.com/ProseMirror/prosemirror/issues/1313	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1314	OPEN	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Relevant <br> is ignored when placed alone in <div>	https://github.com/ProseMirror/prosemirror/issues/1314	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1315	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Safari: selecting across a custom node from the bottom interrupts the selection / moves it into the node.	https://github.com/ProseMirror/prosemirror/issues/1315	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1316	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Highlighting a part of the editor	https://github.com/ProseMirror/prosemirror/issues/1316	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1317	OPEN	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Selected text or block is lost when iOS mobile app is switched	https://github.com/ProseMirror/prosemirror/issues/1317	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1318	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Variable named "chrome" raise issue in Chrome	https://github.com/ProseMirror/prosemirror/issues/1318	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1319	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	RangeError when pasting text at the end of a code block when its the last node in the document	https://github.com/ProseMirror/prosemirror/issues/1319	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1320	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	`EditorState.filterTransaction` is unexpectedly exported in the document	https://github.com/ProseMirror/prosemirror/issues/1320	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1321	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	`splitBlock` splits 1 character before caret position	https://github.com/ProseMirror/prosemirror/issues/1321	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1322	OPEN	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Clipboard is broken on Mac Catalyst WebView	https://github.com/ProseMirror/prosemirror/issues/1322	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1323	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Android: extra paragraph added instead of character when all text was selected and character was typed	https://github.com/ProseMirror/prosemirror/issues/1323	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1324	OPEN	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Dragging an anchor into the Editor produces plain text URL in Safari	https://github.com/ProseMirror/prosemirror/issues/1324	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
1325	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Memory leak because of `resolveCache` in prosemirror-model	https://github.com/ProseMirror/prosemirror/issues/1325	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1326	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	error TS2709: Cannot use namespace ‘OrderedMap’ as a type 	https://github.com/ProseMirror/prosemirror/issues/1326	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
1327	OPEN	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Delete selectable:false node triggers error.	https://github.com/ProseMirror/prosemirror/issues/1327	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
1328	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Extract built-in event handlers into reusable commands	https://github.com/ProseMirror/prosemirror/issues/1328	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
